2020.03.01■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.03.02■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.03.03■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.03.04■7,3,7,6,1,3,3,3,2,2,7,6,4,5,5,9,7,3,3,5,9,2,1■3
2020.03.05■4,5,1,1,9,3,3,9,0,5,8,5,0,1,8,7,7,0,8,3,8,1,0■7
2020.03.06■0,4,2,6,1,3,8,1,8,1,8,7,3,2,6,7,6,6,0,6,2,7,0■6
2020.03.07■6,0,3,5,9,9,2,0,5,9,9,8,5,7,2,1,9,3,2,7,0,4,8■3
2020.03.08■7,7,2,8,7,3,2,7,4,3,7,2,2,5,3,9,4,8,8,2,6,6,9■5
2020.03.09■4,3,9,8,4,6,4,0,1,6,2,1,1,3,4,6,8,2,4,5,3,1,8■10
2020.03.10■7,2,1,3,9,8,1,0,5,6,7,8,1,8,2,0,1,5,4,4,9,4,4■8
2020.03.11■8,4,7,2,1,9,1,8,7,7,3,9,6,9,3,6,5,2,5,2,7,4,8■9
2020.03.12■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.03.13■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.03.14■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.03.15■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.03.16■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.03.17■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.03.18■7,3,7,6,1,3,3,3,2,2,7,6,4,5,5,9,7,3,3,5,9,2,1■3
2020.03.19■4,5,1,1,9,3,3,9,0,5,8,5,0,1,8,7,7,0,8,3,8,1,0■7
2020.03.20■0,4,2,6,1,3,8,1,8,1,8,7,3,2,6,7,6,6,0,6,2,7,0■6
2020.03.21■6,0,3,5,9,9,2,0,5,9,9,8,5,7,2,1,9,3,2,7,0,4,8■3
2020.03.22■7,7,2,8,7,3,2,7,4,3,7,2,2,5,3,9,4,8,8,2,6,6,9■5
2020.03.23■4,3,9,8,4,6,4,0,1,6,2,1,1,3,4,6,8,2,4,5,3,1,8■10
2020.03.24■7,2,1,3,9,8,1,0,5,6,7,8,1,8,2,0,1,5,4,4,9,4,4■8
2020.03.25■8,4,7,2,1,9,1,8,7,7,3,9,6,9,3,6,5,2,5,2,7,4,8■9
2020.03.26■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.03.27■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.03.28■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.03.29■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.03.30■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.03.31■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.04.01■7,3,7,6,1,3,3,3,2,2,7,6,4,5,5,9,7,3,3,5,9,2,1■3
2020.04.02■4,5,1,1,9,3,3,9,0,5,8,5,0,1,8,7,7,0,8,3,8,1,0■7
2020.04.03■0,4,2,6,1,3,8,1,8,1,8,7,3,2,6,7,6,6,0,6,2,7,0■6
2020.04.04■6,0,3,5,9,9,2,0,5,9,9,8,5,7,2,1,9,3,2,7,0,4,8■3
2020.04.05■7,7,2,8,7,3,2,7,4,3,7,2,2,5,3,9,4,8,8,2,6,6,9■5
2020.04.06■4,3,9,8,4,6,4,0,1,6,2,1,1,3,4,6,8,2,4,5,3,1,8■10
2020.04.07■7,2,1,3,9,8,1,0,5,6,7,8,1,8,2,0,1,5,4,4,9,4,4■8
2020.04.08■8,4,7,2,1,9,1,8,7,7,3,9,6,9,3,6,5,2,5,2,7,4,8■9
2020.04.09■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.04.10■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.04.11■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.04.12■7,3,7,6,1,3,3,3,2,2,7,6,4,5,5,9,7,3,3,5,9,2,1■3
2020.04.13■4,5,1,1,9,3,3,9,0,5,8,5,0,1,8,7,7,0,8,3,8,1,0■7
2020.04.14■0,4,2,6,1,3,8,1,8,1,8,7,3,2,6,7,6,6,0,6,2,7,0■6
2020.04.15■6,0,3,5,9,9,2,0,5,9,9,8,5,7,2,1,9,3,2,7,0,4,8■3
2020.04.16■7,7,2,8,7,3,2,7,4,3,7,2,2,5,3,9,4,8,8,2,6,6,9■5
2020.04.17■4,3,9,8,4,6,4,0,1,6,2,1,1,3,4,6,8,2,4,5,3,1,8■10
2020.04.18■7,2,1,3,9,8,1,0,5,6,7,8,1,8,2,0,1,5,4,4,9,4,4■8
2020.04.19■8,4,7,2,1,9,1,8,7,7,3,9,6,9,3,6,5,2,5,2,7,4,8■9
2020.04.20■2,8,8,4,3,9,9,4,4,1,4,6,2,5,5,4,0,4,3,6,9,4,8■2
2020.04.21■9,8,2,7,4,9,2,0,4,5,6,3,0,6,3,9,4,9,3,3,5,8,2■10
2020.04.22■7,1,4,0,3,9,7,0,5,8,7,7,6,9,1,9,8,4,2,6,3,3,7■3
2020.04.23■7,3,7,6,1,3,3,3,2,2,7,6,4,5,5,9,7,3,3,5,9,2,1■3
2020.04.24■4,5,1,1,9,3,3,9,0,5,8,5,0,1,8,7,7,0,8,3,8,1,0■7
2020.04.25■0,4,2,6,1,3,8,1,8,1,8,7,3,2,6,7,6,6,0,6,2,7,0■6
2020.04.26■6,0,3,5,9,9,2,0,5,9,9,8,5,7,2,1,9,3,2,7,0,4,8■3
2020.04.27■7,7,2,8,7,3,2,7,4,3,7,2,2,5,3,9,4,8,8,2,6,6,9■5
2020.04.28■4,3,9,8,4,6,4,0,1,6,2,1,1,3,4,6,8,2,4,5,3,1,8■10
2020.04.29■7,2,1,3,9,8,1,0,5,6,7,8,1,8,2,0,1,5,4,4,9,4,4■8
2020.04.30■8,4,7,2,1,9,1,8,7,7,3,9,6,9,3,6,5,2,5,2,7,4,8■9
2020.05.01■9,8,2,2,1,1,9,0,5,2,6,0,6,1,4,4,3,8,4,1,7,8,2■6
